Distance (Degree),Line 1 - Band_1 (Surface value)
0,3.19989
0,3.19894
0,3.20287
0.00001,3.20826
0.00001,3.21518
0.00001,3.22325
0.00001,3.23412
0.00001,3.24691
0.00001,3.2616
0.00002,3.27667
0.00002,3.29586
0.00002,3.3192
0.00002,3.35143
0.00002,3.38783
0.00002,3.42553
0.00003,3.4618
0.00003,3.49131
0.00003,3.52497
0.00003,3.5584
0.00003,3.60758
0.00003,3.65129
0.00004,3.70725
0.00004,3.77513
0.00004,3.85705
0.00004,3.9535
0.00004,4.06605
0.00005,4.19266
0.00005,4.33134
0.00005,4.47989
0.00005,4.63623
0.00005,4.79807
0.00005,4.96447
0.00006,5.13498
0.00006,5.30821
0.00006,5.48632
0.00006,5.66287
0.00006,5.84041
0.00006,6.01848
0.00007,6.19665
0.00007,6.37444
0.00007,6.5412
0.00007,6.71721
0.00007,6.89074
0.00007,7.06016
0.00008,7.23419
0.00008,7.39853
0.00008,7.53955
0.00008,7.64235
0.00008,7.70525
0.00008,7.75334
0.00009,7.79334
0.00009,7.82904
0.00009,7.86213
0.00009,7.89349
0.00009,7.92355
0.0001,7.95244
0.0001,7.9801
0.0001,8.00632
0.0001,8.03089
0.0001,8.04204
0.0001,8.06201
0.00011,8.04894
0.00011,8.06136
0.00011,8.07169
0.00011,8.08004
0.00011,8.08649
0.00011,8.09114
0.00012,8.09406
0.00012,8.10095
0.00012,8.09901
0.00012,8.08845
0.00012,8.08484
0.00012,8.07953
0.00013,8.07226
0.00013,7.93597
0.00013,7.84267
0.00013,7.8329
0.00013,7.82099
0.00014,7.80286
0.00014,7.78593
0.00014,7.76503
0.00014,7.79335
0.00014,7.7535
0.00014,7.72171
0.00015,7.68545
0.00015,7.64466
0.00015,7.59935
0.00015,7.55218
0.00015,7.4982
0.00015,7.44042
0.00016,7.37925
0.00016,7.31522
0.00016,7.24566
0.00016,7.17857
0.00016,7.10356
0.00016,7.04109
0.00017,6.9844
0.00017,6.93572
0.00017,6.89492
0.00017,6.85842
0.00017,6.82852
0.00017,6.80662
0.00018,6.85802
0.00018,6.8619
0.00018,6.86102
0.00018,6.85312
0.00018,6.83921
0.00019,6.8186
0.00019,6.79312
0.00019,6.76369
0.00019,6.7312
0.00019,6.69723
0.00019,6.66467
0.0002,6.64107
0.0002,6.634
0.0002,6.6419
0.0002,6.65447
0.0002,6.66915
0.0002,6.68203
0.00021,6.692
0.00021,6.6984
0.00021,6.70143
0.00021,6.74413
0.00021,6.74038
0.00021,6.72583
0.00022,6.71454
0.00022,6.69985
0.00022,6.68192
0.00022,6.66095
0.00022,6.63936
0.00023,6.61226
0.00023,6.58276
0.00023,6.55118
0.00023,6.52729
0.00023,6.49205
0.00023,6.45631
0.00024,6.42086
0.00024,6.38661
0.00024,6.35449
0.00024,6.32527
0.00024,6.29946
0.00024,6.2772
0.00025,6.25821
0.00025,6.2366
0.00025,6.22194
0.00025,6.20863
0.00025,6.19604
0.00025,6.17402
0.00026,6.15786
0.00026,6.14433
0.00026,6.13016
0.00026,6.11295
0.00026,6.0969
0.00026,6.07994
0.00027,6.06208
0.00027,6.04341
0.00027,6.02403
0.00027,6.00412
0.00027,5.99083
0.00028,5.99481
0.00028,5.97294
0.00028,5.95174
0.00028,5.93175
0.00028,5.90962
0.00028,5.89257
0.00029,5.87823
0.00029,5.86683
0.00029,5.85838
0.00029,5.8526
0.00029,5.854
0.00029,5.85108
0.0003,5.849
0.0003,5.84771
0.0003,5.85223
0.0003,5.84334
0.0003,5.84191
0.0003,5.84002
0.00031,5.83752
0.00031,5.83432
0.00031,5.82818
0.00031,5.82299
0.00031,5.81702
0.00032,5.81028
0.00032,5.80284
0.00032,5.79479
0.00032,5.78627
0.00032,5.77735
0.00032,5.7681
0.00033,5.76356
0.00033,5.75381
0.00033,5.74485
0.00033,5.74795
0.00033,5.74158
0.00033,5.73674
0.00034,5.73329
0.00034,5.73094
0.00034,5.72931
0.00034,5.72799
0.00034,5.7266
0.00034,5.71509
0.00035,5.71169
0.00035,5.70759
0.00035,5.70261
0.00035,5.69664
0.00035,5.68958
0.00036,5.67515
0.00036,5.67155
0.00036,5.66095
0.00036,5.64916
0.00036,5.63626
0.00036,5.62238
0.00037,5.60775
0.00037,5.59411
0.00037,5.57876
0.00037,5.56415
0.00037,5.55198
0.00037,5.54386
0.00038,5.55904
0.00038,5.56424
0.00038,5.57591
0.00038,5.5878
0.00038,5.60397
0.00038,5.62006
0.00039,5.63526
0.00039,5.64908
0.00039,5.66123
0.00039,5.67604
0.00039,5.68419
0.00039,5.69028
0.0004,5.69427
0.0004,5.69613
0.0004,5.69488
0.0004,5.69292
0.0004,5.68839
0.00041,5.68173
0.00041,5.673
0.00041,5.66228
0.00041,5.66228
0.00041,5.64976
0.00041,5.63504
0.00042,5.62033
0.00042,5.60607
0.00042,5.59541
0.00042,5.59221
0.00042,5.60571
0.00042,5.64156
0.00043,5.69475
0.00043,5.75581
0.00043,5.82055
0.00043,5.88551
0.00043,5.94935
0.00043,6.01169
0.00044,6.07159
0.00044,6.12919
0.00044,6.18444
0.00044,6.23738
0.00044,6.28807
0.00045,6.33659
0.00045,6.38304
0.00045,6.43073
0.00045,6.47325
0.00045,6.51402
0.00045,6.55313
0.00046,6.58978
0.00046,6.6261
0.00046,6.66118
0.00046,6.69535
