Test Name,ID,Date,Location,Completed,Team Size,Depart Time,Arrival Time,Port Batt Pre,STBD Batt Pre,RC Batt Pre,Temp (F),Water Temp ,Avg Water Speed,Start Time ,End Time,Port Batt Post,STBD Batt Post,RC Batt Post,Leave Time,setup,survey,pack,total,portloss,stbdloss,rcloss,setuptime,surveytime,packtime,totaltime
Test1_Functionality,1,12/6/2023,Hechenbleikner,Complete,2,12:30,12:37,98,94,,52,,,13:20,14:19,92,92,,15:00,0:43:00,0:59:00,0:41:00,2:23:00,6,2,0,43,59,41,143
Test2_RCV,2,2/29/2024,Hechenbleikner,Complete,2,12:30,12:40,96,81,,51,,,12:59,13:40,86,75,,14:20,0:19:00,0:41:00,0:40:00,1:40:00,10,6,0,19,41,40,100
Test3_Software,3,3/28/2024,Hechenbleikner,Complete,2,14:40,14:49,86,99,,62,,,15:01,16:02,66,88,,16:30,0:12:00,1:01:00,0:28:00,1:41:00,20,11,0,12,61,28,101
Test4_Auto,4,4/5/2024,Hechenbleikner,Complete,2,,13:57,94,96,,58,,,14:10,15:16,75,88,,15:30,0:13:00,1:06:00,0:14:00,1:33:00,19,8,0,13,66,14,93
Test5_Auto,5,4/10/2024,Hechenbleikner,Complete,1,12:21,12:53,80,75,,63,,,13:25,14:09,68,73,,14:43,0:32:00,0:44:00,0:34:00,1:50:00,12,2,0,32,44,34,110
Test6_BlindDeploy,6,4/12/2024,Hechenbleikner,Complete,3,13:55,14:01,93,90,,69,,,14:27,15:10,86,89,,15:42,0:26:00,0:43:00,0:32:00,1:41:00,7,1,0,26,43,32,101
Test7_BlindDeploy,7,4/26/2024,Hechenbleikner,Complete,2,12:48,13:15,72,88,,67,,,13:38,14:10,63,82,,15:10,0:23:00,0:32:00,1:00:00,1:55:00,9,6,0,23,32,60,115
Test8_FullLakeTest,8,5/28/2024,Hechenbleikner,Complete,3,12:40,12:45,74,98,,80,,0.2,13:22,13:57,66,91,,14:16,0:37:00,0:35:00,0:19:00,1:31:00,8,7,0,37,35,19,91
Test9_Latta,9,6/12/2024,Latta Nature Preserve,Complete,2,10:30,10:51,100,100,8.7,78,,0.2,11:15,11:50,81,95,8.5,12:10,0:24:00,0:35:00,0:20:00,1:19:00,19,5,0.2,24,35,20,79
Test12_Latta_2,12,6/18/2024,Latta Kayak Ramp,Complete,2,9:11,9:47,99,99,8.5,80,,,10:06,12:20,35,73,8.3,12:40,0:19:00,2:14:00,0:20:00,2:53:00,64,26,0.2,19,134,20,173
Test13_Hechen,13,7/3/2024,Hechenbleikner,Complete,3,,14:05,100,100,8.3,89,83,,14:23,14:44,99,99,8.2,14:58,0:18:00,0:21:00,0:14:00,0:53:00,1,1,0.1,18,21,14,53
Test14_Hechen,14,7/26/2024,Hechenbleikner,Complete,2,,10:42,80,97,8.2,78,75,,11:03,11:08,75,95,8.2,11:30,0:21:00,0:05:00,0:22:00,0:48:00,5,2,0,21,5,22,48
Test15_Mallardkirk,15,8/13/2024,Mallard Creek,Complete,2,,9:54,74,75,8,80,76,,11:20,11:20,70,73,7.8,11:52,1:26:00,0:00:00,0:32:00,1:58:00,4,2,0.2,86,0,32,118
Test16_SpeedTest,16,9/6/2024,Hechenbleikner,Complete,1,,13:35,97,94,7.4,79,77,,13:55,14:37,81,89,7.2,15:05,0:20:00,0:42:00,0:28:00,1:30:00,16,5,0.2,20,42,28,90
Test17_Riverbend,17,9/20/2024,Riverbend Ramp,Complete,2,,10:42,96,96,,75,74,,11:07,13:01,57,83,,13:20,0:25:00,1:54:00,0:19:00,2:38:00,39,13,0,25,114,19,158
Test18_Latta_3,18,9/25/2024,Latta Kayak Ramp,Complete,1,,12:16,99,99,,79,75,,12:51,14:21,58,83,,14:50,0:35:00,1:30:00,0:29:00,2:34:00,41,16,0,35,90,29,154
Test19_Duchmans,19,10/7/2024,Dutchmans Creek,Complete,2,,10:38,97,99,,73,70,,11:19,11:40,91,98,,11:58,0:41:00,0:21:00,0:18:00,1:20:00,6,1,0,41,21,18,80
Test20_Hechen,20,12/16/2024,Hechenbleikner,Complete,1,,13:30,99,99,8.2,56,53,,13:52,14:35,78,95,8.1,14:52,0:22:00,0:43:00,0:17:00,1:22:00,21,4,0.1,22,43,17,82
Test21_Cowans_2,21,12/19/2024,Cowans Access Point,Complete,2,,9:45,99,99,7.8,46,62,,10:08,12:20,47,71,7.5,12:43,0:23:00,2:12:00,0:23:00,2:58:00,52,28,0.3,23,132,23,178
Test22_Gastonia,22,1/24/2025,Gastonia Bridge,Complete,2,,10:42,99,99,8.5,36,41,,11:37,14:35,26,61,8.4,15:30,0:55:00,2:58:00,0:55:00,4:48:00,73,38,0.1,55,178,55,288
Test23_Norman,23,3/6/2025,Norman ,Complete,1,11:30,13:00,99,99,8.7,51,60,0,13:30,15:10,57,81,8.5,15:42,0:30:00,1:40:00,0:32:00,2:42:00,42,18,0.2,30,100,32,162
